,Total_Outliers,Positive_Outliers,Negative_Outliers
1992-02-01,1,0.0,1.0
1992-03-01,1,0.0,1.0
1992-06-01,1,0.0,1.0
1992-07-01,4,3.0,1.0
1992-08-01,3,0.0,3.0
1992-09-01,4,1.0,3.0
1992-11-01,1,1.0,0.0
1992-12-01,1,1.0,0.0
1993-07-01,6,4.0,2.0
1993-08-01,2,0.0,2.0
1993-09-01,2,1.0,1.0
1993-12-01,2,2.0,0.0
1994-03-01,2,1.0,1.0
1994-04-01,1,1.0,0.0
1994-05-01,2,1.0,1.0
1994-06-01,5,1.0,4.0
1994-07-01,6,5.0,1.0
1994-08-01,5,0.0,5.0
1994-09-01,3,2.0,1.0
1994-12-01,2,2.0,0.0
1995-07-01,2,1.0,1.0
1995-08-01,2,1.0,1.0
1995-09-01,3,3.0,0.0
1995-12-01,1,1.0,0.0
1996-02-01,1,1.0,0.0
1996-03-01,3,1.0,2.0
1996-04-01,8,3.0,5.0
1996-05-01,11,6.0,5.0
1996-06-01,14,6.0,8.0
1996-07-01,14,10.0,4.0
1996-08-01,8,5.0,3.0
1996-09-01,8,5.0,3.0
1996-10-01,1,0.0,1.0
1996-12-01,3,1.0,2.0
1997-03-01,2,1.0,1.0
1997-04-01,2,0.0,2.0
1997-05-01,5,3.0,2.0
1997-06-01,6,4.0,2.0
1997-07-01,5,3.0,2.0
1997-08-01,6,3.0,3.0
1997-09-01,5,3.0,2.0
1997-10-01,3,0.0,3.0
1997-11-01,2,1.0,1.0
1997-12-01,4,1.0,3.0
1998-02-01,1,0.0,1.0
1998-03-01,2,1.0,1.0
1998-04-01,1,0.0,1.0
1998-05-01,1,1.0,0.0
1998-06-01,1,1.0,0.0
1998-07-01,2,2.0,0.0
1998-08-01,1,0.0,1.0
1998-09-01,2,0.0,2.0
1998-10-01,1,1.0,0.0
1998-11-01,1,0.0,1.0
1998-12-01,2,2.0,0.0
1999-02-01,1,1.0,0.0
1999-03-01,2,1.0,1.0
1999-04-01,1,0.0,1.0
1999-05-01,3,2.0,1.0
1999-07-01,6,3.0,3.0
1999-08-01,3,2.0,1.0
1999-09-01,3,2.0,1.0
1999-10-01,1,1.0,0.0
1999-12-01,3,3.0,0.0
2000-01-01,1,1.0,0.0
2000-03-01,1,0.0,1.0
2000-05-01,3,2.0,1.0
2000-06-01,1,1.0,0.0
2000-07-01,1,1.0,0.0
2000-08-01,1,0.0,1.0
2000-10-01,1,1.0,0.0
2001-03-01,1,1.0,0.0
2001-07-01,2,0.0,2.0
2001-12-01,2,2.0,0.0
2002-03-01,6,6.0,0.0
2002-05-01,2,0.0,2.0
2002-06-01,1,0.0,1.0
2002-07-01,1,1.0,0.0
2002-09-01,1,1.0,0.0
2002-10-01,1,1.0,0.0
2002-11-01,2,2.0,0.0
2002-12-01,1,1.0,0.0
2003-02-01,1,0.0,1.0
2003-03-01,2,2.0,0.0
2003-05-01,2,0.0,2.0
2003-07-01,6,1.0,5.0
2003-08-01,1,0.0,1.0
2003-09-01,6,5.0,1.0
2003-10-01,7,2.0,5.0
2003-11-01,3,0.0,3.0
2003-12-01,1,0.0,1.0
2004-01-01,1,1.0,0.0
2004-03-01,2,0.0,2.0
2004-04-01,3,1.0,2.0
2004-05-01,4,3.0,1.0
2004-06-01,2,1.0,1.0
2004-07-01,3,0.0,3.0
2004-08-01,1,0.0,1.0
2004-09-01,4,3.0,1.0
2004-10-01,2,2.0,0.0
2004-12-01,2,2.0,0.0
2005-02-01,1,0.0,1.0
2005-05-01,2,0.0,2.0
2005-07-01,4,1.0,3.0
2005-08-01,1,1.0,0.0
2005-09-01,4,2.0,2.0
2005-11-01,1,1.0,0.0
2005-12-01,2,1.0,1.0
2006-03-01,2,0.0,2.0
2006-05-01,2,1.0,1.0
2006-07-01,2,0.0,2.0
2006-08-01,1,1.0,0.0
2006-09-01,1,1.0,0.0
2006-10-01,2,2.0,0.0
2006-11-01,1,1.0,0.0
2007-01-01,1,1.0,0.0
2007-02-01,1,1.0,0.0
2007-03-01,1,0.0,1.0
2007-04-01,1,0.0,1.0
2007-05-01,6,4.0,2.0
2007-07-01,4,0.0,4.0
2007-08-01,1,1.0,0.0
2007-12-01,1,0.0,1.0
2008-01-01,1,1.0,0.0
2008-02-01,1,1.0,0.0
2008-03-01,2,1.0,1.0
2008-04-01,4,0.0,4.0
2008-06-01,3,1.0,2.0
2008-07-01,3,1.0,2.0
2008-08-01,6,0.0,6.0
2008-09-01,3,1.0,2.0
2008-10-01,2,1.0,1.0
2008-11-01,2,1.0,1.0
2008-12-01,3,1.0,2.0
2009-02-01,1,0.0,1.0
2009-03-01,4,0.0,4.0
2009-05-01,2,0.0,2.0
2009-06-01,1,0.0,1.0
2009-07-01,7,3.0,4.0
2009-08-01,3,0.0,3.0
2009-09-01,8,5.0,3.0
2009-11-01,1,0.0,1.0
2009-12-01,2,2.0,0.0
2010-01-01,2,2.0,0.0
2010-03-01,1,1.0,0.0
2010-04-01,1,0.0,1.0
2010-05-01,3,2.0,1.0
2010-09-01,1,1.0,0.0
2010-10-01,2,2.0,0.0
2010-11-01,1,1.0,0.0
2011-03-01,2,0.0,2.0
2011-04-01,2,1.0,1.0
2011-05-01,10,5.0,5.0
2011-06-01,6,5.0,1.0
2011-07-01,10,8.0,2.0
2011-08-01,1,0.0,1.0
2011-12-01,1,0.0,1.0
2012-04-01,2,2.0,0.0
2012-05-01,14,13.0,1.0
2012-06-01,13,4.0,9.0
2012-07-01,19,17.0,2.0
